stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
10199,,"CAMPBELL AVE -- 51ST AVE",,  33.502041,-112.172325
102,,"BELL RD & 52ND ST",,  33.640293,-111.968208
1020,,"BASELINE RD & PRIEST DR",,  33.378159,-111.962318
10200,,"CAMPBELL AVE & 55TH AVE",,  33.502396,-112.177895
10201,,"CAMPBELL AVE & 55TH AVE",,  33.502148,-112.177353
10202,,"CAMPBELL AVE -- 55TH AVE",,  33.501999,-112.181587
10203,,"CAMPBELL AVE -- 59TH AVE",,  33.502296,-112.182137
10204,,"CAMPBELL AVE & 59TH AVE",,  33.502193,-112.186096
10205,,"CAMPBELL AVE & 59TH AVE",,  33.502312,-112.186623
10206,,"CAMPBELL AVE -- 59TH AVE",,  33.502045,-112.190536
10207,,"CAMPBELL AVE -- 63RD AVE",,  33.502251,-112.190903
10208,,"CAMPBELL AVE & 63RD AVE",,  33.502193,-112.195343
10209,,"CAMPBELL AVE & 63RD AVE",,  33.502079,-112.194923
10210,,"CAMPBELL AVE -- 67TH AVE",,  33.502247,-112.199257
10211,,"CAMPBELL AVE -- 63RD AVE",,  33.501900,-112.198715
10212,,"SELLS DR -- 75TH AVE",,  33.500771,-112.226433
10213,,"SELLS DR -- 79TH DR",,  33.500629,-112.225838
10214,,"79TH DR -- INDIAN SCHOOL RD",,  33.497982,-112.229691
10215,,"79TH DR -- SELLS DR",,  33.497726,-112.229507
10216,,"79TH DR & INDIAN SCHOOL RD",,  33.494064,-112.229698
10217,,"79TH DR & INDIAN SCHOOL RD",,  33.494839,-112.229523
10218,,"79TH DR -- INDIAN SCHOOL RD",,  33.489784,-112.231171
10219,,"79TH DR -- OSBORN RD",,  33.489918,-112.230583
10220,,"OSBORN RD & 83RD AVE",,  33.487160,-112.238213
10221,,"OSBORN RD -- 87TH AVE",,  33.487095,-112.242424
10222,,"OSBORN RD -- 87TH AVE",,  33.486961,-112.241783
10223,,"OSBORN RD & 87TH AVE",,  33.487122,-112.246696
10224,,"OSBORN RD & 87TH AVE",,  33.486938,-112.246262
10225,,"OSBORN RD -- 87TH AVE",,  33.487057,-112.251144
10226,,"OSBORN RD -- 91ST AVE",,  33.486919,-112.250549
1024,,"BELL RD & 41ST AVE",,  33.639191,-112.146309
1025,,"BELL RD & 11TH AVE",,  33.639992,-112.086708
1026,,"BELL RD & 15TH AVE",,  33.639996,-112.091003
1027,,"BELL RD & 17TH AVE",,  33.639996,-112.095009
1028,,"BELL RD & 19TH AVE",,  33.639793,-112.098701
1029,,"BELL RD & 21ST AVE",,  33.639793,-112.102707
103,,"BELL RD & 54TH ST",,  33.640293,-111.964203
1030,,"BELL RD & 23RD AVE",,  33.639828,-112.107498
1031,,"BELL RD & 29TH AVE",,  33.639721,-112.120819
1032,,"BELL RD & 31ST AVE",,  33.639492,-112.124504
1033,,"BELL RD & 33RD DR",,  33.639496,-112.129501
1034,,"BELL RD & 35TH AVE",,  33.639294,-112.133804
1035,,"BELL RD & 37TH AVE",,  33.639294,-112.138206
1036,,"BELL RD & 39TH AVE",,  33.639294,-112.142708
1037,,"BELL RD & 3RD AVE",,  33.639992,-112.078003
1038,,"BELL RD & 43RD AVE",,  33.639248,-112.151039
1039,,"BELL RD & 47TH AVE",,  33.638992,-112.160004
104,,"BELL RD & 56TH ST",,  33.640194,-111.959511
1040,,"BELL RD & 49TH AVE",,  33.638962,-112.164444
1041,,"BELL RD & 51ST AVE",,  33.638794,-112.168503
1042,,"BELL RD & 53RD AVE",,  33.638794,-112.172508
1043,,"BELL RD & 57TH AVE",,  33.638691,-112.180809
1044,,"BELL RD & 59TH AVE",,  33.638710,-112.185318
1045,,"BELL RD & 61ST AVE",,  33.638290,-112.190308
1046,,"BELL RD & 63RD AVE",,  33.638294,-112.194504
1047,,"BELL RD & 67TH AVE",,  33.638195,-112.200706
1048,,"BELL RD & 69TH AVE",,  33.638210,-112.206795
1049,,"BELL RD & 73RD AVE",,  33.638119,-112.215767
105,,"BELL RD & 58TH ST",,  33.640194,-111.955307
1050,,"BELL RD & 75TH AVE",,  33.638100,-112.220062
1051,,"BELL RD & 7TH AVE",,  33.639992,-112.082306
1052,,"BELL RD & PARK PL",,  33.639191,-112.155212
1053,,"BELL RD & TALAVI BLVD",,  33.638695,-112.177208
1054,,"BELL RD -- 67TH AVE & 63RD AVE",,  33.638294,-112.198006
1055,,"BETHANY HOME RD & 17TH AVE",,  33.523956,-112.095253
1056,,"BETHANY HOME RD & 11TH AVE",,  33.523846,-112.086197
1057,,"BETHANY HOME RD & 15TH AVE",,  33.523933,-112.093086
1058,,"BETHANY HOME RD & 19TH AVE",,  33.524006,-112.099174
1059,,"BETHANY HOME RD & 21ST AVE",,  33.523979,-112.103310
106,,"BELL RD & 60TH ST",,  33.640194,-111.951210
1060,,"BETHANY HOME RD & 23RD AVE",,  33.523964,-112.107712
1061,,"BETHANY HOME RD & 27TH AVE",,  33.523922,-112.115715
1062,,"BETHANY HOME RD & 29TH AVE",,  33.523891,-112.120811
1063,,"BETHANY HOME RD & 31ST AVE",,  33.523899,-112.125206
1064,,"BETHANY HOME RD & 33RD AVE",,  33.523876,-112.129196
1065,,"BETHANY HOME RD & 35TH AVE",,  33.523869,-112.133690
1066,,"BETHANY HOME RD & 37TH AVE",,  33.523861,-112.138000
1067,,"BETHANY HOME RD & 39TH AVE",,  33.523846,-112.142311
1068,,"BETHANY HOME RD & 3RD AVE",,  33.523746,-112.077209
1069,,"BETHANY HOME RD & 43RD AVE",,  33.523811,-112.150711
107,,"BELL RD & 61ST PL",,  33.640293,-111.947708
1070,,"BETHANY HOME RD & 45TH DR",,  33.523834,-112.156319
1071,,"BETHANY HOME RD & 47TH AVE",,  33.523830,-112.159218
1072,,"BETHANY HOME RD & 49TH AVE",,  33.523838,-112.163391
1073,,"BETHANY HOME RD & 51ST AVE",,  33.523849,-112.167213
1074,,"BETHANY HOME RD & 55TH AVE",,  33.523911,-112.176819
1075,,"BETHANY HOME RD & 57TH AVE",,  33.523933,-112.181221
1076,,"BETHANY HOME RD & 59TH AVE",,  33.523968,-112.185493
1077,,"BETHANY HOME RD & 61ST AVE",,  33.523903,-112.190208
1078,,"BETHANY HOME RD & 63RD AVE",,  33.523849,-112.194855
1079,,"BETHANY HOME RD & 67TH AVE",,  33.523754,-112.202522
108,,"BELL RD & 64TH ST",,  33.640263,-111.942017
1080,,"BETHANY HOME RD & 7TH AVE",,  33.523781,-112.081711
1081,,"BETHANY HOME RD & 51ST AVE",,  33.523842,-112.170471
1083,,"BETHANY HOME RD & 41ST AVE",,  33.523834,-112.147232
1084,,"BETHANY HOME RD & 65TH AVE",,  33.523796,-112.199806
1085,,"BETHANY HOME RD & 24TH AVE",,  33.523949,-112.110710
1086,,"BROADWAY RD & FARMER AVE",,  33.407303,-111.943726
1087,,"BROADWAY RD & 15TH AVE",,  33.406654,-112.090218
1088,,"BROADWAY RD & 48TH ST",,  33.407249,-111.977524
1089,,"BROADWAY RD & 7TH AVE",,  33.406586,-112.081482
109,,"BELL RD & 66TH ST",,  33.640194,-111.938202
1090,,"BROADWAY RD & ALMA SCHOOL RD",,  33.407497,-111.856216
1091,,"BROADWAY RD & BROADWAY FRONTAGE RD",,  33.407486,-111.965172
1092,,"BROADWAY RD & COUNTRY CLUB DR",,  33.407692,-111.840309
1093,,"BROADWAY RD & CUTLER DR",,  33.407356,-111.958267
1094,,"BROADWAY RD & DATE",,  33.407665,-111.843796
1095,,"BROADWAY RD & DOBSON RD",,  33.407501,-111.873711
1096,,"BROADWAY RD & EL DORADO",,  33.407448,-111.886719
1097,,"BROADWAY RD & EXTENSION RD",,  33.407669,-111.848007
1098,,"BROADWAY RD & HARDY DR",,  33.407330,-111.952003
1099,,"BROADWAY RD & INDUSTRIAL PARK AVE",,  33.407356,-111.954308
11,,"5TH ST & MYRTLE AVE",,  33.425430,-111.938011
110,,"BELL RD & 68TH ST",,  33.639687,-111.933311
1100,,"BROADWAY RD & LONGMORE",,  33.407513,-111.865395
1101,,"BROADWAY RD & MACDONALD",,  33.407730,-111.834023
1103,,"BROADWAY RD & PRIEST DR",,  33.407368,-111.960304
1104,,"BROADWAY RD & ROBSON",,  33.407738,-111.836578
1105,,"BROADWAY RD & ROOSEVELT ST",,  33.407307,-111.947502
1106,,"BROADWAY RD & ROOSEVELT RD",,  33.407436,-111.882790
1107,,"BROADWAY RD & SAGUARO",,  33.407505,-111.867706
1108,,"BROADWAY RD & STANDAGE",,  33.407494,-111.860703
111,,"BELL RD & 7TH ST",,  33.639992,-112.065010
1111,,"BROADWAY RD -- VALENCIA & DOBSON RD",,  33.407490,-111.878235
1112,,"BROADWAY RD & 9TH AVE",,  33.406639,-112.085144
1114,,"BROADWAY RD & WESTWOOD",,  33.407585,-111.852806
1115,,"BUCKEYE RD & 31ST AVE",,  33.436840,-112.125504
1116,,"BUCKEYE RD & 65TH AVE",,  33.437069,-112.197784
1117,,"BUCKEYE RD & 15TH AVE",,  33.436684,-112.090706
1118,,"BUCKEYE RD & 17TH AVE",,  33.436680,-112.095207
1119,,"BUCKEYE RD & 19TH AVE",,  33.436672,-112.099503
112,,"BELL RD & 9TH ST",,  33.640194,-112.060806
1120,,"BUCKEYE RD & 25TH AVE",,  33.436691,-112.112305
1122,,"BUCKEYE RD & 27TH AVE",,  33.436695,-112.117004
1123,,"BUCKEYE RD & 29TH AVE",,  33.436779,-112.120804
1126,,"BUCKEYE RD & 33RD AVE",,  33.436832,-112.129707
1127,,"BUCKEYE RD & 35TH AVE",,  33.436825,-112.134201
1128,,"BUCKEYE RD & 37TH AVE",,  33.436691,-112.138306
1129,,"BUCKEYE RD & 39TH AVE",,  33.436829,-112.143105
113,,"BELL RD & CAVE CREEK RD",,  33.640293,-112.030304
1130,,"BUCKEYE RD & 41ST AVE",,  33.436695,-112.147003
1131,,"BUCKEYE RD & 43RD AVE",,  33.436695,-112.151207
1132,,"BUCKEYE RD & 47TH AVE",,  33.436695,-112.159805
