service_id,date,exception_type
FTOT14-Weekday-4-FTOT14-1111100,20141106,1
FTOT14-Weekday-4-FTOT14-1111100,20141107,1
FTOT14-Weekday-4-FTOT14-1111100,20141110,1
FTOT14-Weekday-4-FTOT14-1111100,20141112,1
FTOT14-Weekday-4-FTOT14-1111100,20141113,1
FTOT14-Weekday-4-FTOT14-1111100,20141114,1
FTOT14-Weekday-4-FTOT14-1111100,20141117,1
FTOT14-Weekday-4-FTOT14-1111100,20141118,1
FTOT14-Weekday-4-FTOT14-1111100,20141119,1
FTOT14-Weekday-4-FTOT14-1111100,20141120,1
FTOT14-Weekday-4-FTOT14-1111100,20141121,1
FTOT14-Weekday-4-FTOT14-1111100,20141124,1
FTOT14-Weekday-4-FTOT14-1111100,20141125,1
FTOT14-Weekday-4-FTOT14-1111100,20141126,1
FTOT14-Weekday-4-FTOT14-1111100,20141201,1
FTOT14-Weekday-4-FTOT14-1111100,20141202,1
FTOT14-Weekday-4-FTOT14-1111100,20141203,1
FTOT14-Weekday-4-FTOT14-1111100,20141204,1
FTOT14-Weekday-4-FTOT14-1111100,20141205,1
FTOT14-Weekday-4-FTOT14-1111100,20141208,1
FTOT14-Weekday-4-FTOT14-1111100,20141209,1
FTOT14-Weekday-4-FTOT14-1111100,20141210,1
FTOT14-Weekday-4-FTOT14-1111100,20141211,1
FTOT14-Weekday-4-FTOT14-1111100,20141212,1
FTOT14-Weekday-4-FTOT14-1111100,20141215,1
FTOT14-Weekday-4-FTOT14-1111100,20141216,1
FTOT14-Weekday-4-FTOT14-1111100,20141217,1
FTOT14-Weekday-4-FTOT14-1111100,20141218,1
FTOT14-Weekday-4-FTOT14-1111100,20141219,1
FTOT14-Weekday-4-FTOT14-1111100,20141222,1
FTOT14-Weekday-4-FTOT14-1111100,20141223,1
FTOT14-Weekday-4-FTOT14-1111100,20141226,1
FTOT14-Weekday-4-FTOT14-1111100,20141229,1
FTOT14-Weekday-4-FTOT14-1111100,20141230,1
FTOT14-Weekday-4-FTOT14-1111100,20141231,1
FTOT14-Weekday-4-FTOT14-1111100,20150102,1
FTOT14-Weekday-4-FTOT14-1111100,20150105,1
FTOT14-Weekday-4-FTOT14-1111100,20150106,1
FTOT14-Weekday-4-FTOT14-1111100,20150107,1
FTOT14-Weekday-4-FTOT14-1111100,20150108,1
FTOT14-Weekday-4-FTOT14-1111100,20150109,1
FTOT14-Weekday-4-FTOT14-1111100,20150112,1
FTOT14-Weekday-4-FTOT14-1111100,20150113,1
FTOT14-Weekday-4-FTOT14-1111100,20150114,1
FTOT14-Weekday-4-FTOT14-1111100,20150115,1
FTOT14-Weekday-4-FTOT14-1111100,20150116,1
FTOT14-Weekday-4-FTOT14-1111100,20150120,1
FTOT14-Weekday-4-FTOT14-1111100,20150121,1
FTOT14-Weekday-4-FTOT14-1111100,20150122,1
FTOT14-Weekday-4-FTOT14-1111100,20150123,1
FTOT14-Weekday-4-FTOT14-0010000,20141029,1
FTOT14-Weekday-4-FTOT14-0010000,20141105,1
FTOT14-Weekday-4-FTOT14-0010000,20141112,1
FTOT14-Weekday-4-FTOT14-0010000,20141119,1
FTOT14-Weekday-4-FTOT14-0010000,20141126,1
FTOT14-Weekday-4-FTOT14-0010000,20141203,1
FTOT14-Weekday-4-FTOT14-0010000,20141210,1
FTOT14-Weekday-4-FTOT14-0010000,20141217,1
FTOT14-Weekday-4-FTOT14-0010000,20141231,1
FTOT14-Weekday-4-FTOT14-0010000,20150107,1
FTOT14-Weekday-4-FTOT14-0010000,20150114,1
FTOT14-Weekday-4-FTOT14-0010000,20150121,1
FTOT14-Weekday-4-FTOT14-1101100,20141027,1
FTOT14-Weekday-4-FTOT14-1101100,20141028,1
FTOT14-Weekday-4-FTOT14-1101100,20141030,1
FTOT14-Weekday-4-FTOT14-1101100,20141031,1
FTOT14-Weekday-4-FTOT14-1101100,20141103,1
FTOT14-Weekday-4-FTOT14-1101100,20141104,1
FTOT14-Weekday-4-FTOT14-1101100,20141106,1
FTOT14-Weekday-4-FTOT14-1101100,20141107,1
FTOT14-Weekday-4-FTOT14-1101100,20141110,1
FTOT14-Weekday-4-FTOT14-1101100,20141113,1
FTOT14-Weekday-4-FTOT14-1101100,20141114,1
FTOT14-Weekday-4-FTOT14-1101100,20141117,1
FTOT14-Weekday-4-FTOT14-1101100,20141118,1
FTOT14-Weekday-4-FTOT14-1101100,20141120,1
FTOT14-Weekday-4-FTOT14-1101100,20141121,1
FTOT14-Weekday-4-FTOT14-1101100,20141124,1
FTOT14-Weekday-4-FTOT14-1101100,20141125,1
FTOT14-Weekday-4-FTOT14-1101100,20141201,1
FTOT14-Weekday-4-FTOT14-1101100,20141202,1
FTOT14-Weekday-4-FTOT14-1101100,20141204,1
FTOT14-Weekday-4-FTOT14-1101100,20141205,1
FTOT14-Weekday-4-FTOT14-1101100,20141208,1
